log_text,label
blk_4931832500563355889,Normal
blk_5133892961859808126,Normal
blk_-1052739769153545987,Normal
blk_4151093570962084251,Normal
blk_6717969265771639561,Normal
blk_-4236464647074379160,Normal
blk_-2498004188306609167,Normal
blk_5636792039332085446,Normal
blk_-7185891569842971867,Normal
blk_2583366788302307794,Normal
blk_-4026330115303607086,Normal
blk_-1577830978049349432,Normal
blk_6420476111425645508,Normal
blk_377236923047456543,Normal
blk_8223024669447846632,Normal
blk_4058804987355354315,Normal
blk_4856031730010032819,Normal
blk_-6339417867119146108,Normal
blk_-6714222090039882252,Normal
blk_4031055865781150544,Normal
blk_8725561728667995755,Normal
blk_-9084956447070300510,Normal
blk_-8048421706779991679,Normal
blk_-4525470997464616220,Normal
blk_872694497849122755,Anomaly
blk_-5170072115129389871,Normal
blk_-5493359978973542887,Normal
blk_-8162512552777886199,Normal
blk_1185079144408607775,Normal
blk_-6852866038059123001,Normal
blk_6578809109018330119,Normal
blk_-7130787197300034964,Normal
blk_2657254091763574664,Normal
blk_3091099087150179177,Normal
blk_4623571410782847630,Normal
blk_-568941302732430172,Normal
blk_2404342940449629715,Normal
blk_-5414183895914433338,Normal
blk_613065710451569222,Normal
blk_-67977319704233769,Normal
blk_-8694359045337946818,Normal
blk_24847521761041757,Normal
blk_-3238412011236244640,Normal
blk_-1121030458003600251,Normal
blk_-6827329558602881823,Normal
blk_7132759917805418067,Normal
blk_7392010738495470190,Normal
blk_8055148678985254863,Normal
blk_-3520428728308625709,Normal
blk_6986538622634403948,Normal
blk_-6035208985581955117,Normal
blk_6678472565712118087,Normal
blk_7573381576932599374,Normal
blk_197214010584922120,Normal
blk_-3253829104116368139,Normal
blk_-3443869707407490925,Normal
blk_-7689031213313245416,Normal
blk_3773669678166680940,Normal
blk_841265344082922041,Normal
blk_3488190436389958215,Normal
blk_-5358363415355511925,Normal
blk_5274692881287326658,Normal
blk_-2573988170548478524,Normal
blk_-5175722170941249815,Normal
blk_2646137657036117634,Normal
blk_-6232712486646639079,Normal
blk_-7232800529359257484,Normal
blk_2585807940696131461,Normal
blk_-7486457612086258197,Normal
blk_1732876454483854279,Normal
blk_3294295097158489623,Normal
blk_-6511728007995801856,Normal
blk_3953559589275347835,Normal
blk_-463158400553007438,Normal
blk_5614249702379360530,Normal
blk_38171424126089923,Normal
blk_-7532913187987519950,Normal
blk_-3318642146574997320,Normal
blk_-6054385392244792487,Normal
blk_-7545473931084004681,Normal
blk_-237744713088101845,Normal
blk_541458502420960920,Normal
blk_-7565306891743376805,Normal
blk_8465769948419925967,Normal
blk_1367870633219053668,Normal
blk_-3572954475094555028,Normal
blk_2455917203220074754,Normal
blk_-5472366049560759167,Normal
blk_-2449017855856764848,Normal
blk_-906929634502249537,Normal
blk_981612145312864885,Normal
blk_1383479986546835007,Normal
blk_1585681987211758961,Normal
blk_5678512043430077200,Normal
blk_3093569883558689157,Normal
blk_4083337788449963064,Normal
blk_-4916781897012753844,Normal
blk_7251107390153250071,Normal
blk_7916151846227308238,Normal
blk_-5671895892153119162,Normal
blk_-669219608853085168,Normal
blk_2044409903741578562,Normal
blk_2327492205667109903,Normal
blk_4036267293724823480,Normal
blk_6055889596475060317,Normal
blk_3878871310819862093,Normal
blk_-2667064017324592326,Normal
blk_8518644188978882261,Normal
blk_8155607960458082281,Normal
blk_2163147564840591022,Normal
blk_6525645224298470536,Normal
blk_4289625875479909480,Normal
blk_3239380279521454817,Normal
blk_-2870732575704612495,Normal
blk_6121212718624278543,Normal
blk_-3407920531979306897,Normal
blk_-6795505241391858229,Normal
blk_7182298358730791197,Normal
blk_-5584875496006139565,Normal
blk_-2864044183052157382,Normal
blk_3043753876829603164,Normal
blk_-1268704127005579599,Normal
blk_2931242832797339515,Normal
blk_-3901171193985872487,Normal
blk_4082071052002133707,Normal
blk_-3534835244149147539,Normal
blk_-3616976684127351139,Normal
blk_4712938983108943253,Normal
blk_-8144145466118512432,Normal
blk_8294878850903324975,Normal
blk_-1442035270681298125,Normal
blk_-4013352108974757296,Normal
blk_8624561841460699343,Normal
blk_4139091197886383131,Normal
blk_8135292087230413975,Anomaly
blk_4566277459864535342,Normal
blk_-7713388298429426884,Normal
blk_-3046627542547536054,Normal
blk_5661848627083847913,Normal
blk_-7194027365856463559,Normal
blk_-6704225939638932097,Normal
blk_1239909128373552502,Normal
blk_-8741334127422264486,Normal
blk_7804208990899438071,Normal
blk_-5143286617671754617,Normal
blk_8183815269486695335,Normal
blk_6192538903136651854,Normal
blk_7340860866556817481,Normal
blk_1780513736067213693,Normal
blk_6402803854715743550,Normal
blk_8257277173936543986,Normal
blk_2602936878633669240,Normal
blk_3647098096660331647,Normal
blk_-4147447158944475729,Normal
blk_6733725894073150811,Normal
blk_6745860875456203032,Normal
blk_-6441832264813778096,Normal
blk_-9032182111118378964,Normal
blk_-994288696663095595,Normal
blk_5579327064488516122,Normal
blk_-2064366892727746021,Normal
blk_7359269325129318656,Normal
blk_8554832644956889891,Normal
blk_328595803100712652,Normal
blk_6005203045226256208,Normal
blk_6687412102242126380,Normal
blk_5167166035808601451,Normal
blk_268467721592087811,Normal
blk_1472526959254300198,Normal
blk_8643402937543183462,Normal
blk_7031936135774406790,Normal
blk_-4255221183685916173,Normal
blk_-7837133872976053297,Normal
blk_-8991056407448381439,Normal
blk_-2126554733521224025,Anomaly
blk_1191349968162171906,Normal
blk_1568365807861288923,Normal
blk_1242317965473535156,Normal
blk_4989545155659808163,Normal
blk_7146075618207518599,Normal
blk_-3293629146894685686,Normal
blk_-6638947116615659603,Normal
blk_-8336073861861214315,Normal
blk_-2273002562863558502,Normal
blk_8338750703123779266,Normal
blk_1443463642808392693,Normal
blk_-2965566789783719201,Normal
blk_-4613619599761045924,Normal
blk_7284288610645148533,Normal
blk_-6513994781975921172,Normal
blk_721089563800281867,Normal
blk_-1812791921266891724,Normal
blk_60883264900606622,Normal
blk_4369195003475287925,Normal
blk_-2488242768015281896,Normal
blk_-6661785825013183656,Normal
blk_5519533847123842836,Normal
blk_3444182709176827855,Normal
blk_-5939456537580499544,Normal
blk_1870632972122759026,Normal
blk_-8499405744728777619,Normal
blk_-3982883175805628125,Normal
blk_3629306941925717410,Normal
blk_-3708490612483850737,Normal
blk_8653331095267766448,Normal
blk_-2319428880642351841,Normal
blk_-6481104156429369270,Normal
blk_5080467239406867513,Normal
blk_1624298601708597347,Normal
blk_-1876641118231621786,Normal
blk_3837161082742671754,Normal
blk_7688878104984545100,Normal
blk_-7563442172597950408,Normal
blk_-7598755695670995274,Normal
blk_7941013015950049921,Normal
blk_871787403538593251,Normal
blk_7299155215022858120,Normal
blk_8480912111155467136,Normal
blk_4771754397973472847,Normal
blk_1452575498208233649,Normal
blk_1340344699891218771,Normal
blk_-7913427877332822466,Normal
blk_6830647897035533836,Normal
blk_8072327513655359852,Normal
blk_913412967866641995,Normal
blk_5013023125302265367,Normal
blk_-416928069220652273,Normal
blk_6071503843829253608,Normal
blk_6328154611956466143,Normal
blk_8351002834999754342,Normal
blk_-3538845885769016002,Normal
blk_-7430844830306228943,Normal
blk_-2824064955348406797,Normal
blk_-65606802992611431,Normal
blk_-8406634885489843927,Normal
blk_-3005274241419157270,Normal
blk_2576579059491723435,Normal
blk_-9041047513394897329,Normal
blk_-2309900647143124161,Normal
blk_-8508057853272918816,Normal
blk_-1075824758046104422,Normal
blk_2597659943452218395,Normal
blk_-5104206351914419668,Normal
blk_3577345752857670999,Normal
blk_4929053471764164638,Normal
blk_-4677103480197511730,Normal
blk_7251600344459961283,Normal
blk_-3155415637543545820,Normal
blk_-3193897258890652655,Normal
blk_-4542486744283261479,Normal
blk_-5197568757166382826,Normal
blk_-7901445778450179145,Normal
blk_-4479989170423733522,Normal
blk_8606995131101556912,Normal
blk_-6832386779504989309,Normal
blk_6064295214517058617,Normal
blk_-2141072550023948613,Normal
blk_-216389055115678724,Normal
blk_4747238186020862016,Normal
blk_4251602773768633325,Normal
blk_-8188272833603461278,Normal
blk_-2067385435033773498,Normal
blk_2683535556464000378,Normal
blk_-3694504493891123835,Normal
blk_-5757962755072575216,Normal
blk_7034391505127133718,Normal
blk_-4980916519894289629,Normal
blk_3109130885877799441,Normal
blk_2703374977575297682,Normal
blk_6500566432312573976,Normal
blk_-6554027761952844542,Normal
blk_-6145698237621875335,Normal
blk_-8228488434309596512,Normal
blk_6609144330049651960,Normal
blk_-7761947476089971890,Normal
blk_-5799326497853100007,Normal
blk_8906203213634671871,Normal
blk_-2828996566187353103,Normal
blk_8482590428431422891,Anomaly
blk_-2312147690217434210,Normal
blk_4416660016226859472,Normal
blk_772091154632597811,Normal
blk_-4399286846013888952,Normal
blk_-6351309833986612599,Normal
blk_5803894113608140682,Normal
blk_6077954422315381195,Normal
blk_-5039128843590007903,Normal
blk_-2662935357565476291,Normal
blk_1599799993385491920,Normal
blk_2801218189631186974,Normal
blk_-5151714183399086516,Normal
blk_5884950680255995064,Normal
blk_-7375971436657227021,Normal
blk_-7831665753665975065,Normal
blk_-3876575027880456041,Normal
blk_-9160124113518814252,Normal
blk_-4296171014141925719,Normal
blk_-4069602769444643005,Normal
blk_-6899032568103917580,Normal
blk_-4292103160769565108,Normal
blk_7196328834103783317,Normal
blk_8579301465840265748,Normal
blk_-8768530263404097174,Normal
blk_-3431456343870913603,Normal
blk_5087957844448820410,Normal
blk_6085008237835595770,Normal
blk_9003215120101901701,Normal
blk_3161047852969754500,Normal
blk_-8152463073954263952,Normal
blk_5610574676312653650,Normal
blk_8603591900851525088,Anomaly
blk_-4432457328315453349,Normal
blk_5307863097968695533,Normal
blk_5287451148791451910,Normal
blk_1573881407620578711,Normal
blk_5523156400855821070,Normal
blk_6056604080643908577,Normal
blk_-579646444174856708,Normal
blk_818537109488448922,Normal
blk_-8985949782239394588,Normal
blk_-4788950857776423433,Normal
blk_-687219410594546963,Normal
blk_-2832258347628037902,Normal
blk_3091706019883730194,Normal
blk_1773982668832725796,Normal
blk_5396605528143869571,Normal
blk_-255336845458712031,Normal
blk_-83065676709031724,Normal
blk_-8965228688626257540,Normal
blk_4215182079622464740,Normal
blk_6161685833481418747,Normal
blk_-8408585389435091639,Normal
blk_-1232716733008653623,Normal
blk_1092960795971700929,Normal
blk_4024073501975455074,Normal
blk_-7260540083428788101,Normal
blk_1550325006350637554,Normal
blk_5416743790398445477,Normal
blk_-1172377736743719612,Normal
blk_1708853254252682850,Normal
blk_5435795890716266026,Normal
blk_6774601527177062062,Normal
blk_7158117119124673246,Normal
blk_4343924546874236222,Normal
blk_-9014358123780922562,Normal
blk_-4765926974911946277,Normal
blk_3355583568782545298,Normal
blk_377618740330978260,Normal
blk_-1671908550880445633,Normal
blk_-4147254060276276230,Normal
blk_-6763047286842112294,Normal
blk_7221391155290050682,Normal
blk_-702914669824490768,Normal
blk_8770179656047245761,Normal
blk_-905420327780628422,Normal
blk_-8091500692725856178,Normal
blk_1490688748544451537,Normal
blk_-6435553748797995900,Normal
blk_921191207157592635,Normal
blk_-6109888848472168395,Normal
blk_-5803589503683257903,Normal
blk_2377046827443319368,Normal
blk_-4988292905194043694,Normal
blk_6451671367135362720,Normal
blk_-2319685221225432975,Normal
blk_7244664705245092357,Normal
blk_-534567803364321832,Normal
blk_-4818966791050854421,Normal
blk_773876666265973347,Normal
blk_2519867749497411393,Normal
blk_-7644485990528150829,Normal
blk_2514531255881471188,Normal
blk_-2223743786532653404,Normal
blk_-2413878595077242663,Normal
blk_-4643267524444904764,Normal
blk_2816172732202486923,Normal
blk_-1868015545055942226,Normal
blk_6283031206129261402,Normal
blk_-6451957660770917899,Normal
blk_-5281652609560910153,Normal
blk_-8916560322184963168,Normal
blk_3598098443329376447,Normal
blk_3529167026944955580,Normal
blk_-7915574042531143310,Normal
blk_9042348424950806432,Normal
blk_9012812621571621393,Normal
blk_7329555279485153857,Normal
blk_1263821186434394299,Normal
blk_-4522674214885249351,Normal
blk_-522411459886268103,Normal
blk_8391756464112244215,Normal
blk_52962730199228054,Normal
blk_7660061323639306636,Normal
blk_-5423513854422420312,Normal
blk_-3024092045386925634,Normal
blk_-3133403702878715474,Normal
blk_-4093911052867262422,Normal
blk_7660023273109905151,Normal
blk_7969503050474875700,Normal
blk_6065044231207119942,Normal
blk_2013325748856732111,Anomaly
blk_2074085795246532847,Normal
blk_5328707233719373029,Normal
blk_-5337994755640289830,Anomaly
blk_-2280258658266411934,Normal
blk_3145084776540768608,Normal
blk_4367800033260794525,Normal
blk_-6877771159587042468,Normal
blk_8729162853545308118,Anomaly
blk_7879756125916401833,Normal
blk_2143803960542795279,Normal
blk_-503792432850915495,Normal
blk_-8966161645824818707,Normal
blk_-5965876303758897519,Normal
blk_8751448391372717220,Normal
blk_-8495497618534328697,Normal
blk_-2506843086549234219,Normal
blk_3224840506115243705,Normal
blk_-8288158188551869111,Normal
blk_5723629486203908816,Normal
blk_853905232645675499,Normal
blk_4500192800512255692,Normal
blk_9010172791348579514,Normal
blk_2207505383141413278,Normal
blk_219521890557687410,Normal
blk_3932164532372485447,Normal
blk_3762366616652794081,Normal
blk_9172574816502780128,Normal
blk_6129688752872053968,Normal
blk_2706128290690873650,Normal
blk_4693129335578226474,Normal
blk_-6963879374264137757,Normal
blk_-8165149451366912526,Normal
blk_7848878019274417370,Normal
blk_-8344369764096766543,Normal
blk_-3911044501521217199,Normal
blk_-6047688258013815286,Normal
blk_-7676598480675454792,Normal
blk_1592457460876251375,Normal
blk_2184883463130872486,Normal
blk_3120520921832425666,Normal
blk_778180702863802494,Normal
blk_5165801969915470204,Normal
blk_-7678475058431153610,Normal
blk_7946935699456709525,Normal
blk_-4961369352737833646,Normal
blk_-4049878569660019316,Normal
blk_-5528113440193562958,Normal
blk_7244324659620401027,Normal
blk_-2459117549877491807,Normal
blk_-9152983975288319088,Normal
blk_-4704451547769328589,Normal
blk_-4571080286260880200,Normal
blk_-7509001624708352080,Normal
blk_7523193419675083274,Anomaly
blk_-8059891145453838909,Normal
blk_8770045048857756043,Normal
blk_-104087085791207724,Normal
blk_-6262048896829045189,Normal
blk_-6689614308409336057,Anomaly
blk_-4819161109439334498,Normal
blk_-7362312881779468190,Normal
blk_-6955331982797412183,Normal
blk_-3043861027862076957,Normal
blk_-6080475336943888471,Normal
blk_1609421853139927098,Normal
blk_-172248312619507492,Normal
blk_27168498893201242,Normal
blk_1763907258501437751,Normal
blk_142587055947206449,Normal
blk_-6685610835362900837,Normal
blk_7500817310068380423,Normal
blk_-2296590692202564606,Normal
blk_4196254058785164188,Normal
blk_-4756691189199606845,Normal
blk_-7877075246137598122,Normal
blk_3081790587987964865,Normal
blk_-6366010944729120397,Normal
blk_1570581070249347139,Normal
blk_-4969235823780020247,Normal
blk_-140358256609686612,Normal
blk_-2360022432487784826,Normal
blk_2829796248143905484,Normal
blk_-4458222463551289898,Normal
blk_-6653557694518759805,Normal
blk_-7311877763840212450,Normal
blk_1671779663447174401,Anomaly
blk_-4355053474202635058,Normal
blk_7688023007693766011,Normal
blk_8105610287489451552,Normal
blk_-5353172111459521112,Normal
blk_4853969775470696341,Normal
blk_-4250224019694147022,Normal
blk_-429810545636837749,Normal
blk_847418696961406650,Normal
blk_1980388172040581646,Normal
blk_8145984793403459836,Normal
blk_-1192131400590783935,Normal
blk_2810430719974764986,Normal
blk_-820350698742608250,Normal
blk_-9095569357761706870,Normal
blk_-3414702188874363950,Normal
blk_-8314364179885729801,Normal
blk_-1698212893538574436,Normal
blk_3976904143893308751,Normal
blk_3297598274644123915,Normal
blk_-1556573469142991699,Normal
blk_-9156885882020120324,Normal
blk_-2217337663495438507,Normal
blk_8353096851339684511,Normal
blk_3433107635493864473,Normal
blk_-2280738926777462482,Normal
blk_3921380110845988026,Normal
blk_5379321524485462433,Normal
blk_9024887021051404928,Normal
blk_4109773370461331836,Normal
blk_6756191001627401745,Normal
blk_-9019980029552431200,Normal
blk_-6855680613076083008,Normal
blk_-884504519407186748,Normal
blk_1876581258137720325,Normal
blk_6257696864079314665,Normal
blk_-2687169637976743681,Normal
blk_2614557182454390488,Normal
blk_-6549753779314452768,Normal
blk_1261362019224683494,Normal
blk_7006988817066821706,Normal
blk_-8991914002966004726,Normal
blk_3284650935096064034,Normal
blk_-4824991445869366991,Normal
blk_-5704227645362474955,Normal
blk_-6883621750482762843,Normal
blk_-2016462319148100939,Normal
blk_-2857950700409802071,Normal
blk_7214885953979232621,Normal
blk_895573205224681540,Normal
blk_8716244237763720958,Anomaly
blk_71358664454240061,Normal
blk_-7626003468311221508,Normal
blk_-5648168234757048846,Normal
blk_3151206812686960851,Normal
blk_5519957175448536910,Normal
blk_6122321441386847083,Normal
blk_-1566629900358427030,Normal
blk_-2402004651648010398,Normal
blk_8777422202136655045,Normal
blk_6755015854939154786,Normal
blk_344295897461734506,Anomaly
blk_-246026268456613968,Normal
blk_-6240913313403504862,Normal
blk_-8550552202569216374,Normal
blk_1756874515302969268,Normal
blk_2713961931234025070,Normal
blk_5853900137316619503,Normal
blk_7576500291340137580,Normal
blk_251253676484915451,Normal
blk_559354390227065499,Normal
blk_7624916180150944740,Normal
blk_-7063017458283012347,Normal
blk_-2297107294057360292,Normal
blk_2913022780003054060,Normal
blk_-2699087140355319516,Normal
blk_6815910471562726133,Normal
blk_3157730981463741414,Normal
blk_-4220062776581335697,Normal
blk_7320609065074060400,Normal
blk_-1526054227803718525,Normal
blk_40178224537000875,Normal
blk_6778948312309528424,Anomaly
blk_2411106624502783317,Normal
blk_1005764473802773954,Normal
blk_-800622121569571679,Normal
blk_107679466757866349,Normal
blk_-7672156841616524772,Normal
blk_-7915807112303457006,Normal
blk_-6519654768909987052,Normal
blk_-7333092054746368887,Normal
blk_-1610188518003877647,Normal
blk_8838373295078992689,Normal
blk_1600922989219362856,Normal
blk_-8351324667986910703,Normal
blk_-6501657336333033287,Normal
blk_-5828680349927396673,Normal
blk_-6655959078707447485,Normal
blk_6073926273468114352,Normal
blk_-8298739168666443681,Normal
blk_-3794507541650505252,Normal
blk_-8390239296930701271,Normal
blk_-8370948403322920698,Normal
blk_-2220859835087186790,Normal
blk_-437445126274247464,Normal
blk_-2686641434021601107,Normal
blk_4579126408496000412,Normal
blk_8386398624953355071,Normal
blk_-3755467135169516445,Normal
blk_3019287001811872621,Normal
blk_2224907527715374983,Normal
blk_-8107734498038945076,Normal
blk_-5718566902774898133,Normal
blk_-4245144137165916733,Normal
blk_-7800707847661743046,Normal
blk_-6118708449788908728,Normal
blk_5850743196591433560,Normal
blk_-514432457196518151,Normal
blk_9202404868120642434,Normal
blk_-4372782340315157578,Normal
blk_-1847405483971232525,Normal
blk_-283179121260992987,Normal
blk_9139290401737745980,Normal
blk_6211958327989273707,Normal
blk_6289736215250399438,Normal
blk_-8875853476597140925,Normal
blk_-3060996491652485702,Normal
blk_-158622295347645566,Normal
blk_-3768660671303210170,Normal
blk_-6718797860845987198,Normal
blk_-1654072451124467407,Normal
blk_7682893831399115890,Normal
blk_447524195489451623,Normal
blk_-3123380318340518714,Normal
blk_-1985149861733685096,Normal
blk_3315047161001772510,Normal
blk_-4575945680498324254,Normal
blk_-4830167090961967482,Normal
blk_5167296799288638509,Normal
blk_-3620130116081708382,Normal
blk_-5570549536551886229,Normal
blk_-1111414103292395924,Normal
blk_6657174239119894644,Normal
blk_-3883105563868090428,Normal
blk_-431410035249724892,Normal
blk_7516861970835508319,Normal
blk_-3783593332169000834,Normal
blk_-1716421030715354338,Normal
blk_5853420733337427946,Normal
blk_6193328680008897082,Normal
blk_4357939960446746871,Normal
blk_-5917814347183484793,Normal
blk_-8936272065619965543,Normal
blk_6771618172519331014,Normal
blk_-8810482657786525608,Normal
blk_4887137470554709738,Normal
blk_8338938300524612323,Normal
blk_-8991036737161674736,Normal
blk_749936523660590443,Normal
blk_1347177590369994671,Normal
blk_-7728911370677562061,Normal
blk_5795812610742480165,Normal
blk_-6644278109849772092,Normal
blk_6299601060562277410,Normal
blk_-4896140359414230985,Normal
blk_4781267590044428130,Normal
blk_-4544790754104531975,Normal
blk_255245908999733348,Normal
blk_4571694201145773221,Normal
blk_6207205291466497895,Normal
blk_3151027788376722850,Normal
blk_-5311661871369312306,Normal
blk_1026927458537215957,Normal
blk_7918827947769550930,Normal
blk_2703171498968003133,Normal
blk_4588931038443125482,Normal
blk_-4690715941677619474,Normal
blk_-8291673381370801454,Normal
blk_-6946479245250719763,Normal
blk_-3889190188835226987,Normal
blk_8834798433764753771,Normal
blk_7963903429672169952,Normal
blk_5946442458287052742,Normal
blk_-8215836495994996145,Normal
blk_-6003485234128709065,Normal
blk_-8906299271772802557,Normal
blk_-4385381166285131937,Normal
blk_3794317127404700707,Normal
blk_1329134914737185064,Normal
blk_5198360049421901854,Normal
blk_-2712345717904429729,Normal
blk_7153968877299193907,Normal
blk_-5279881996242163534,Normal
blk_6895841870911683124,Normal
blk_-5851674849910133238,Normal
blk_3775375435301411733,Normal
blk_1769784888228461388,Normal
blk_4562181774475561281,Normal
blk_531934870539821181,Normal
blk_1953622280671062946,Normal
blk_-6213697702703799581,Normal
blk_4079926698790712684,Normal
blk_1689058846137142795,Normal
blk_-481400728777615591,Normal
blk_2282881086791853417,Normal
blk_4860837911909331221,Normal
blk_8614600531165476766,Normal
blk_-2744021066218325984,Normal
blk_-8695658957781561390,Normal
